timestamp,fila,columna,humedad_suelo,temperatura_suelo,ph_suelo,humedad_aire,temperatura_aire,radiacion,alerta,tipo_alerta
2025-10-26 16:36:06,1,1,31.12,29.51,5.76,52.47,26.84,35120.25,NORMAL,
2025-10-26 16:36:07,1,2,29.95,19.86,6.11,85.25,19.51,1088.21,FUERA DE LO NORMAL,Humedad Aire
2025-10-26 16:36:08,1,3,19.05,34.52,5.95,45.95,28.28,11401.06,FUERA DE LO NORMAL,Temperatura Suelo
2025-10-26 16:36:09,1,4,11.15,21.86,5.62,52.26,16.99,12798.13,NORMAL,
2025-10-26 16:36:10,1,5,28.73,31.8,7.23,47.85,26.74,43690.86,NORMAL,
2025-10-26 16:36:11,2,5,12.91,23.23,6.47,80.42,15.97,6791.42,NORMAL,
2025-10-26 16:36:12,2,4,28.8,31.27,5.9,86.05,15.43,22658.54,FUERA DE LO NORMAL,Humedad Aire
2025-10-26 16:36:13,2,3,13.2,32.41,5.53,85.4,17.77,24221.24,FUERA DE LO NORMAL,Humedad Aire
2025-10-26 16:36:14,2,2,21.97,15.75,6.07,65.38,19.66,40316.4,NORMAL,
2025-10-26 16:36:15,2,1,15.09,18.33,6.24,88.35,26.34,32412.86,FUERA DE LO NORMAL,Humedad Aire
2025-10-26 16:36:16,3,1,35.77,23.27,6.52,66.99,30.28,21511.58,FUERA DE LO NORMAL,Humedad Suelo
2025-10-26 16:36:17,3,2,14.6,18.3,5.87,88.25,24.97,24805.3,FUERA DE LO NORMAL,Humedad Aire
2025-10-26 16:36:18,3,3,10.45,26.83,6.96,56.39,16.29,22745.78,NORMAL,
2025-10-26 16:36:19,3,4,30.36,29.58,7.16,53.17,30.19,31888.35,NORMAL,
2025-10-26 16:36:20,3,5,28.36,28.54,7.76,60.58,18.38,7899.25,FUERA DE LO NORMAL,pH Suelo
2025-10-26 16:36:21,4,5,26.13,21.52,6.81,48.57,29.93,5869.07,NORMAL,
2025-10-26 16:36:22,4,4,24.86,21.7,7.65,81.67,15.43,2837.26,FUERA DE LO NORMAL,pH Suelo
2025-10-26 16:36:23,4,3,25.25,20.47,6.27,69.88,19.9,47818.59,FUERA DE LO NORMAL,Radiación
2025-10-26 16:36:24,4,2,13.06,16.78,7.23,78.94,20.18,28758.03,NORMAL,
2025-10-26 16:36:25,4,1,11.54,25.14,5.9,74.53,18.48,10948.2,NORMAL,
